date,category,quantity
2026-04-01,ABARROTES,31.0
2026-04-01,AGUA,102.0
2026-04-01,ALIMENTO PARA PERROS,0.0
2026-04-01,BEBIDAS ALCOHÓLICAS (RESTRINGIDO),17.0
2026-04-01,BEBIDAS EN POLVO,0.0
2026-04-01,BEBIDAS ENERGÉTICAS,0.0
2026-04-01,BEBIDAS ISOTÓNICAS,0.0
2026-04-01,CAFÉ,0.0
2026-04-01,CARNES Y EMBUTIDOS,0.0
2026-04-01,CEREALES,0.0
2026-04-01,CHOCOLATES,30.0
2026-04-01,CONDIMENTOS Y SALSAS,0.0
2026-04-01,CONSERVAS,0.0
2026-04-01,CUIDADO BUCAL,0.0
2026-04-01,CUIDADO CAPILAR,0.0
2026-04-01,CUIDADO DEL BEBÉ,0.0
2026-04-01,DESECHABLES Y PAPEL,0.0
2026-04-01,DETERGENTES,0.0
2026-04-01,DETERGENTES Y LIMPIEZA,0.0
2026-04-01,DULCES,0.0
2026-04-01,EMBUTIDOS,0.0
2026-04-01,GALLETAS Y BIZCOCHOS,0.0
2026-04-01,GASEOSAS,69.0
2026-04-01,GOLOSINAS,127.0
2026-04-01,HARINAS,0.0
2026-04-01,HELADOS,0.0
2026-04-01,HIGIENE FEMENINA,0.0
2026-04-01,HIGIENE PERSONAL,0.0
2026-04-01,INFUSIONES,0.0
2026-04-01,JUGOS Y BEBIDAS,0.0
2026-04-01,LÁCTEOS,0.0
2026-04-01,MENESTRAS,0.0
2026-04-01,PANIFICADOS,0.0
2026-04-01,PAPEL HIGIÉNICO,0.0
2026-04-01,PASTAS,0.0
2026-04-01,PILAS Y BATERÍAS,0.0
2026-04-01,SNACKS,0.0
2026-04-01,SUAVIZANTES,0.0
2026-04-01,UNTABLES Y DULCES,0.0
2026-04-02,ABARROTES,4.0
2026-04-02,AGUA,0.0
2026-04-02,ALIMENTO PARA PERROS,0.0
2026-04-02,BEBIDAS ALCOHÓLICAS (RESTRINGIDO),0.0
2026-04-02,BEBIDAS EN POLVO,0.0
2026-04-02,BEBIDAS ENERGÉTICAS,0.0
2026-04-02,BEBIDAS ISOTÓNICAS,0.0
2026-04-02,CAFÉ,0.0
2026-04-02,CARNES Y EMBUTIDOS,0.0
2026-04-02,CEREALES,0.0
2026-04-02,CHOCOLATES,0.0
2026-04-02,CONDIMENTOS Y SALSAS,0.0
