date,category,quantity
2026-04-23,GLORIA AZUL 400,79.0
2026-04-23,GLORIA UHT ROJA,1.0
2026-04-23,NOSOTRAS NATURA,14.0
2026-04-23,BOMBONES GRAN P,62.0
2026-04-23,BB CHICHA MORAD,1.0
2026-04-23,TURBO MAX,91.0
2026-04-23,PEZIDURE CHOCOC,14.0
2026-04-23,PEZIDURE TRICOL,10.0
2026-04-23,SUBLIME POTE 90,4.0
2026-04-24,GLORIA AZUL 400,79.0
2026-04-24,GLORIA UHT ROJA,1.0
2026-04-24,NOSOTRAS NATURA,14.0
2026-04-24,BOMBONES GRAN P,62.0
2026-04-24,BB CHICHA MORAD,1.0
2026-04-24,TURBO MAX,91.0
2026-04-24,PEZIDURE CHOCOC,14.0
2026-04-24,PEZIDURE TRICOL,10.0
2026-04-24,SUBLIME POTE 90,4.0
2026-04-25,GLORIA AZUL 400,79.0
2026-04-25,GLORIA UHT ROJA,1.0
2026-04-25,NOSOTRAS NATURA,14.0
2026-04-25,BOMBONES GRAN P,62.0
2026-04-25,BB CHICHA MORAD,1.0
2026-04-25,TURBO MAX,91.0
2026-04-25,PEZIDURE CHOCOC,14.0
2026-04-25,PEZIDURE TRICOL,10.0
2026-04-25,SUBLIME POTE 90,4.0
2026-04-26,GLORIA AZUL 400,79.0
2026-04-26,GLORIA UHT ROJA,1.0
2026-04-26,NOSOTRAS NATURA,14.0
2026-04-26,BOMBONES GRAN P,62.0
2026-04-26,BB CHICHA MORAD,1.0
2026-04-26,TURBO MAX,91.0
2026-04-26,PEZIDURE CHOCOC,14.0
2026-04-26,PEZIDURE TRICOL,10.0
2026-04-26,SUBLIME POTE 90,4.0
2026-04-27,GLORIA AZUL 400,79.0
2026-04-27,GLORIA UHT ROJA,1.0
2026-04-27,NOSOTRAS NATURA,14.0
2026-04-27,BOMBONES GRAN P,62.0
2026-04-27,BB CHICHA MORAD,1.0
2026-04-27,TURBO MAX,91.0
2026-04-27,PEZIDURE CHOCOC,14.0
2026-04-27,PEZIDURE TRICOL,10.0
2026-04-27,SUBLIME POTE 90,4.0
2026-04-28,GLORIA AZUL 400,79.0
2026-04-28,GLORIA UHT ROJA,1.0
2026-04-28,NOSOTRAS NATURA,14.0
2026-04-28,BOMBONES GRAN P,62.0
2026-04-28,BB CHICHA MORAD,1.0
2026-04-28,TURBO MAX,91.0
2026-04-28,PEZIDURE CHOCOC,14.0
2026-04-28,PEZIDURE TRICOL,10.0
2026-04-28,SUBLIME POTE 90,4.0
2026-04-29,GLORIA AZUL 400,79.0
2026-04-29,GLORIA UHT ROJA,1.0
2026-04-29,NOSOTRAS NATURA,14.0
2026-04-29,BOMBONES GRAN P,62.0
2026-04-29,BB CHICHA MORAD,1.0
2026-04-29,TURBO MAX,91.0
2026-04-29,PEZIDURE CHOCOC,14.0
2026-04-29,PEZIDURE TRICOL,10.0
2026-04-29,SUBLIME POTE 90,4.0
2026-08-01,GLORIA AZUL 400,79.0
2026-08-01,GLORIA UHT ROJA,1.0
2026-08-01,NOSOTRAS NATURA,14.0
2026-08-01,BOMBONES GRAN P,62.0
2026-08-01,BB CHICHA MORAD,1.0
2026-08-01,TURBO MAX,91.0
2026-08-01,PEZIDURE CHOCOC,14.0
2026-08-01,PEZIDURE TRICOL,10.0
2026-08-01,SUBLIME POTE 90,4.0
2026-08-02,GLORIA AZUL 400,79.0
2026-08-02,GLORIA UHT ROJA,1.0
2026-08-02,NOSOTRAS NATURA,14.0
2026-08-02,BOMBONES GRAN P,62.0
2026-08-02,BB CHICHA MORAD,1.0
2026-08-02,TURBO MAX,91.0
2026-08-02,PEZIDURE CHOCOC,14.0
2026-08-02,PEZIDURE TRICOL,10.0
2026-08-02,SUBLIME POTE 90,4.0
2026-08-03,GLORIA AZUL 400,79.0
2026-08-03,GLORIA UHT ROJA,1.0
2026-08-03,NOSOTRAS NATURA,14.0
2026-08-03,BOMBONES GRAN P,62.0
2026-08-03,BB CHICHA MORAD,1.0
2026-08-03,TURBO MAX,91.0
2026-08-03,PEZIDURE CHOCOC,14.0
2026-08-03,PEZIDURE TRICOL,10.0
2026-08-03,SUBLIME POTE 90,4.0
2026-08-04,GLORIA AZUL 400,79.0
2026-08-04,GLORIA UHT ROJA,1.0
2026-08-04,NOSOTRAS NATURA,14.0
2026-08-04,BOMBONES GRAN P,62.0
2026-08-04,BB CHICHA MORAD,1.0
2026-08-04,TURBO MAX,91.0
2026-08-04,PEZIDURE CHOCOC,14.0
2026-08-04,PEZIDURE TRICOL,10.0
2026-08-04,SUBLIME POTE 90,4.0
2026-08-05,GLORIA AZUL 400,79.0
2026-08-05,GLORIA UHT ROJA,1.0
2026-08-05,NOSOTRAS NATURA,14.0
2026-08-05,BOMBONES GRAN P,62.0
2026-08-05,BB CHICHA MORAD,1.0
2026-08-05,TURBO MAX,91.0
2026-08-05,PEZIDURE CHOCOC,14.0
2026-08-05,PEZIDURE TRICOL,10.0
2026-08-05,SUBLIME POTE 90,4.0
2026-08-06,GLORIA AZUL 400,79.0
2026-08-06,GLORIA UHT ROJA,1.0
2026-08-06,NOSOTRAS NATURA,14.0
2026-08-06,BOMBONES GRAN P,62.0
2026-08-06,BB CHICHA MORAD,1.0
2026-08-06,TURBO MAX,91.0
2026-08-06,PEZIDURE CHOCOC,14.0
2026-08-06,PEZIDURE TRICOL,10.0
2026-08-06,SUBLIME POTE 90,4.0
2026-08-07,GLORIA AZUL 400,79.0
2026-08-07,GLORIA UHT ROJA,1.0
2026-08-07,NOSOTRAS NATURA,14.0
2026-08-07,BOMBONES GRAN P,62.0
2026-08-07,BB CHICHA MORAD,1.0
2026-08-07,TURBO MAX,91.0
2026-08-07,PEZIDURE CHOCOC,14.0
2026-08-07,PEZIDURE TRICOL,10.0
2026-08-07,SUBLIME POTE 90,4.0
2026-08-08,GLORIA AZUL 400,79.0
2026-08-08,GLORIA UHT ROJA,1.0
2026-08-08,NOSOTRAS NATURA,14.0
2026-08-08,BOMBONES GRAN P,62.0
2026-08-08,BB CHICHA MORAD,1.0
2026-08-08,TURBO MAX,91.0
2026-08-08,PEZIDURE CHOCOC,14.0
2026-08-08,PEZIDURE TRICOL,10.0
2026-08-08,SUBLIME POTE 90,4.0
2026-08-09,GLORIA AZUL 400,79.0
2026-08-09,GLORIA UHT ROJA,1.0
2026-08-09,NOSOTRAS NATURA,14.0
2026-08-09,BOMBONES GRAN P,62.0
2026-08-09,BB CHICHA MORAD,1.0
2026-08-09,TURBO MAX,91.0
2026-08-09,PEZIDURE CHOCOC,14.0
2026-08-09,PEZIDURE TRICOL,10.0
2026-08-09,SUBLIME POTE 90,4.0
2026-08-10,GLORIA AZUL 400,79.0
2026-08-10,GLORIA UHT ROJA,1.0
2026-08-10,NOSOTRAS NATURA,14.0
2026-08-10,BOMBONES GRAN P,62.0
2026-08-10,BB CHICHA MORAD,1.0
2026-08-10,TURBO MAX,91.0
2026-08-10,PEZIDURE CHOCOC,14.0
2026-08-10,PEZIDURE TRICOL,10.0
2026-08-10,SUBLIME POTE 90,4.0
2026-08-11,GLORIA AZUL 400,79.0
2026-08-11,GLORIA UHT ROJA,1.0
2026-08-11,NOSOTRAS NATURA,14.0
2026-08-11,BOMBONES GRAN P,62.0
2026-08-11,BB CHICHA MORAD,1.0
2026-08-11,TURBO MAX,91.0
2026-08-11,PEZIDURE CHOCOC,14.0
2026-08-11,PEZIDURE TRICOL,10.0
2026-08-11,SUBLIME POTE 90,4.0
2026-08-12,GLORIA AZUL 400,79.0
2026-08-12,GLORIA UHT ROJA,1.0
2026-08-12,NOSOTRAS NATURA,14.0
2026-08-12,BOMBONES GRAN P,62.0
2026-08-12,BB CHICHA MORAD,1.0
2026-08-12,TURBO MAX,91.0
2026-08-12,PEZIDURE CHOCOC,14.0
2026-08-12,PEZIDURE TRICOL,10.0
2026-08-12,SUBLIME POTE 90,4.0
2026-08-13,GLORIA AZUL 400,79.0
2026-08-13,GLORIA UHT ROJA,1.0
2026-08-13,NOSOTRAS NATURA,14.0
2026-08-13,BOMBONES GRAN P,62.0
2026-08-13,BB CHICHA MORAD,1.0
2026-08-13,TURBO MAX,91.0
2026-08-13,PEZIDURE CHOCOC,14.0
2026-08-13,PEZIDURE TRICOL,10.0
2026-08-13,SUBLIME POTE 90,4.0
2026-08-14,GLORIA AZUL 400,79.0
2026-08-14,GLORIA UHT ROJA,1.0
2026-08-14,NOSOTRAS NATURA,14.0
2026-08-14,BOMBONES GRAN P,62.0
2026-08-14,BB CHICHA MORAD,1.0
2026-08-14,TURBO MAX,91.0
2026-08-14,PEZIDURE CHOCOC,14.0
2026-08-14,PEZIDURE TRICOL,10.0
2026-08-14,SUBLIME POTE 90,4.0
2026-08-15,GLORIA AZUL 400,79.0
2026-08-15,GLORIA UHT ROJA,1.0
2026-08-15,NOSOTRAS NATURA,14.0
2026-08-15,BOMBONES GRAN P,62.0
2026-08-15,BB CHICHA MORAD,1.0
2026-08-15,TURBO MAX,91.0
2026-08-15,PEZIDURE CHOCOC,14.0
2026-08-15,PEZIDURE TRICOL,10.0
2026-08-15,SUBLIME POTE 90,4.0
2026-08-16,GLORIA AZUL 400,79.0
2026-08-16,GLORIA UHT ROJA,1.0
2026-08-16,NOSOTRAS NATURA,14.0
2026-08-16,BOMBONES GRAN P,62.0
2026-08-16,BB CHICHA MORAD,1.0
2026-08-16,TURBO MAX,91.0
2026-08-16,PEZIDURE CHOCOC,14.0
2026-08-16,PEZIDURE TRICOL,10.0
2026-08-16,SUBLIME POTE 90,4.0
2026-08-17,GLORIA AZUL 400,79.0
2026-08-17,GLORIA UHT ROJA,1.0
2026-08-17,NOSOTRAS NATURA,14.0
2026-08-17,BOMBONES GRAN P,62.0
2026-08-17,BB CHICHA MORAD,1.0
2026-08-17,TURBO MAX,91.0
2026-08-17,PEZIDURE CHOCOC,14.0
2026-08-17,PEZIDURE TRICOL,10.0
2026-08-17,SUBLIME POTE 90,4.0
2026-08-18,GLORIA AZUL 400,79.0
2026-08-18,GLORIA UHT ROJA,1.0
2026-08-18,NOSOTRAS NATURA,14.0
2026-08-18,BOMBONES GRAN P,62.0
2026-08-18,BB CHICHA MORAD,1.0
2026-08-18,TURBO MAX,91.0
2026-08-18,PEZIDURE CHOCOC,14.0
2026-08-18,PEZIDURE TRICOL,10.0
2026-08-18,SUBLIME POTE 90,4.0
2026-08-19,GLORIA AZUL 400,79.0
2026-08-19,GLORIA UHT ROJA,1.0
2026-08-19,NOSOTRAS NATURA,14.0
2026-08-19,BOMBONES GRAN P,62.0
2026-08-19,BB CHICHA MORAD,1.0
2026-08-19,TURBO MAX,91.0
2026-08-19,PEZIDURE CHOCOC,14.0
2026-08-19,PEZIDURE TRICOL,10.0
2026-08-19,SUBLIME POTE 90,4.0
2026-08-20,GLORIA AZUL 400,79.0
2026-08-20,GLORIA UHT ROJA,1.0
2026-08-20,NOSOTRAS NATURA,14.0
2026-08-20,BOMBONES GRAN P,62.0
2026-08-20,BB CHICHA MORAD,1.0
2026-08-20,TURBO MAX,91.0
2026-08-20,PEZIDURE CHOCOC,14.0
2026-08-20,PEZIDURE TRICOL,10.0
2026-08-20,SUBLIME POTE 90,4.0
2026-08-21,GLORIA AZUL 400,79.0
2026-08-21,GLORIA UHT ROJA,1.0
2026-08-21,NOSOTRAS NATURA,14.0
2026-08-21,BOMBONES GRAN P,62.0
2026-08-21,BB CHICHA MORAD,1.0
2026-08-21,TURBO MAX,91.0
2026-08-21,PEZIDURE CHOCOC,14.0
2026-08-21,PEZIDURE TRICOL,10.0
2026-08-21,SUBLIME POTE 90,4.0
2026-08-22,GLORIA AZUL 400,79.0
2026-08-22,GLORIA UHT ROJA,1.0
2026-08-22,NOSOTRAS NATURA,14.0
2026-08-22,BOMBONES GRAN P,62.0
2026-08-22,BB CHICHA MORAD,1.0
2026-08-22,TURBO MAX,91.0
2026-08-22,PEZIDURE CHOCOC,14.0
2026-08-22,PEZIDURE TRICOL,10.0
2026-08-22,SUBLIME POTE 90,4.0
2026-08-23,GLORIA AZUL 400,79.0
2026-08-23,GLORIA UHT ROJA,1.0
2026-08-23,NOSOTRAS NATURA,14.0
2026-08-23,BOMBONES GRAN P,62.0
2026-08-23,BB CHICHA MORAD,1.0
2026-08-23,TURBO MAX,91.0
2026-08-23,PEZIDURE CHOCOC,14.0
2026-08-23,PEZIDURE TRICOL,10.0
2026-08-23,SUBLIME POTE 90,4.0
2026-08-24,GLORIA AZUL 400,79.0
2026-08-24,GLORIA UHT ROJA,1.0
2026-08-24,NOSOTRAS NATURA,14.0
2026-08-24,BOMBONES GRAN P,62.0
2026-08-24,BB CHICHA MORAD,1.0
2026-08-24,TURBO MAX,91.0
2026-08-24,PEZIDURE CHOCOC,14.0
2026-08-24,PEZIDURE TRICOL,10.0
2026-08-24,SUBLIME POTE 90,4.0
2026-08-25,GLORIA AZUL 400,79.0
2026-08-25,GLORIA UHT ROJA,1.0
2026-08-25,NOSOTRAS NATURA,14.0
2026-08-25,BOMBONES GRAN P,62.0
2026-08-25,BB CHICHA MORAD,1.0
2026-08-25,TURBO MAX,91.0
