category,product,historical_quantity
ABARROTES,MACA NEGRA CON,370.0
ABARROTES,PYC TOSTADAS CL,291.0
ABARROTES,DURYEA MAICENA,261.0
ABARROTES,QUAKER AVENA 50,252.0
ABARROTES,VOLT MACA,249.0
ABARROTES,CUSQUEÑA TRIGO,223.0
ABARROTES,QUINUA,194.0
ABARROTES,DULFINA AZUCAR,193.0
ABARROTES,BENOIT CEREAL I,188.0
ABARROTES,PARAMONGA AZUCA,188.0
ABARROTES,SAL MARINA COC!,184.0
ABARROTES,AKIO AVENA 1.0,167.0
ABARROTES,UNION TOSTADAS,167.0
ABARROTES,UNION GRANOLA R,162.0
ABARROTES,BENOIT CEREAL,153.0
ABARROTES,MAYONESA ALACENA 235 G,152.0
ABARROTES,UNION PAN INTEG,147.0
ABARROTES,CEREAL BAR GOLD,140.0
ABARROTES,AZÚCAR RUBIA EL GRANELITO 650 G,131.0
ABARROTES,ARVEJA PARTIDA COSTEÑO 500 G,114.0
ABARROTES,AVENA A GRANEL,110.0
ABARROTES,ARROZ EXTRA COSTEÑO 750 G,106.0
ABARROTES,PYC TOSTADAS LN,100.0
ABARROTES,CEBADA INSTANTÁNEA ECCO 170 G,98.0
ABARROTES,ARROZ EXTRA PAISANA 1 KG,90.0
ABARROTES,ARROZ EXTRA FARAÓN AÑEJO NARANJA 750 G,85.0
ABARROTES,SAL MARINA COCT,78.0
ABARROTES,ARROZ EXTRA FARAÓN AZUL 750 G,75.0
ABARROTES,ARROZ EXTRA VALLE BLANCO 650 G,70.0
ABARROTES,FIDEO SPAGHETTI NICOLINI 1 KG,60.0
ABARROTES,ARROZ EXTRA FARAÓN NARANJA 5 KG,56.0
ABARROTES,LENTEJA COSTEÑO 500 G,55.0
ABARROTES,PURÉ DE PAPA FASTELI 125 G,36.0
ABARROTES,AZÚCAR RUBIA TOTTUS 1 KG,35.0
ABARROTES,ACEITE VEGETAL PRIMOR CLÁSICO 900 ML,34.0
AGUA,LOA AGUA 31,920.0
AGUA,SAN CARLOS AGUA,889.0
AGUA,LOA AGUA 625M],819.0
AGUA,CIELO AGUA 1L,701.0
AGUA,AGUA LINE TAC,698.0
AGUA,SAN LUIS ARANDA,651.0
AGUA,CIELO MANZANA 6,624.0
AGUA,LOA AGUA LL,574.0
AGUA,SAN LUIS CON GA,540.0
AGUA,CIELO AGUA S/G,491.0
AGUA,CIELO AGUA,465.0
AGUA,SAN CARLOS CON,435.0
AGUA,CIELO L EEE,390.0
AGUA,CIELO LIMON 600,279.0
AGUA,SAN MATEO AGUA,227.0
AGUA,LOA MANZANA,208.0
ALIMENTO PARA PERROS,PATÉ PARA PERRO PET FORTE CORDERO 330 G,19.0
BEBIDAS ALCOHÓLICAS (RESTRINGIDO),VINO PERFECTO A,91.0
BEBIDAS ALCOHÓLICAS (RESTRINGIDO),SMIRNOFF VERDE,55.0
BEBIDAS ALCOHÓLICAS (RESTRINGIDO),QUE IROLO VINO T,50.0
BEBIDAS ALCOHÓLICAS (RESTRINGIDO),TRES CRUCES ROJ,50.0
BEBIDAS ALCOHÓLICAS (RESTRINGIDO),CRISTAL CERVEZA,37.0
BEBIDAS ALCOHÓLICAS (RESTRINGIDO),RON CARTAVIO BL,31.0
BEBIDAS ALCOHÓLICAS (RESTRINGIDO),RON CARTAVIO RU,31.0
BEBIDAS ALCOHÓLICAS (RESTRINGIDO),TRES CRUCES BLA,18.0
BEBIDAS ALCOHÓLICAS (RESTRINGIDO),PILSEN BOTELLA,14.0
BEBIDAS EN POLVO,CHOCOPOWER FORTASTIC 200 G,7.0
BEBIDAS ENERGÉTICAS,MONSTER ULTRA 6B,50.0
BEBIDAS ISOTÓNICAS,"GATORADE, COOL B",160.0
BEBIDAS ISOTÓNICAS,POWERADE ROJO,74.0
BEBIDAS ISOTÓNICAS,POWERADE MORA,46.0
BEBIDAS ISOTÓNICAS,POWERADE 600ML,20.0
CAFÉ,NESCAFE RESERVA,40.0
CAFÉ,KIRMA 1.5 G,36.0
CAFÉ,KIRMA 15 G,35.0
CAFÉ,KIRMA CLASICO 9,29.0
CAFÉ,MELENDEZ CAFE,25.0
CAFÉ,CAFETAL SELECTO,21.0
CAFÉ,ALTOMAYO GOURMET,19.0
CARNES Y EMBUTIDOS,SUIZA JAMONADA,94.0
CARNES Y EMBUTIDOS,SAN FERNANDO JA,72.0
CARNES Y EMBUTIDOS,SAN FERNANDO SA,48.0
CARNES Y EMBUTIDOS,SAN FERNANDO J,41.0
CARNES Y EMBUTIDOS,SUIZA HOT DOG P,26.0
CARNES Y EMBUTIDOS,SAN FERNANDO CH,6.0
CEREALES,AVENA TOTTUS 500 G,22.0
CHOCOLATES,SUBLIME BLANC,331.0
CHOCOLATES,SUBLIME POT 96,243.0
CHOCOLATES,SUBLIME GALLEVA,216.0
CHOCOLATES,TRENTO CHOCOLAT,149.0
CHOCOLATES,KIT KAT EEE,119.0
CHOCOLATES,X ' SUBLIME) ALMEINDR,117.0
CHOCOLATES,PEZIDURE CHOCOC,110.0
